framework,question_idx,em,total_tokens
cot_sc,2642,0,26663
cot_sc,7153,0,57394
cot_sc,5490,0,25886
cot_sc,691,0,25744
cot_sc,3794,1,18061
cot_sc,4912,0,38821
cot_sc,1102,1,25286
cot_sc,2123,1,50985
cot_sc,3007,0,18822
cot_sc,2738,0,24467
cot_sc,5975,1,35273
cot_sc,3171,0,17898
cot_sc,4911,1,31294
cot_sc,6849,0,48853
cot_sc,6370,1,34137
cot_sc,3043,1,25471
cot_sc,603,1,38856
cot_sc,2894,0,65808
cot_sc,7387,0,54651
cot_sc,3693,0,52037
cot_sc,6135,0,49702
cot_sc,5441,1,41151
cot_sc,3669,1,24573
cot_sc,2379,0,25697
cot_sc,1527,0,42534
cot_sc,359,0,39902
cot_sc,3792,0,25138
cot_sc,6797,1,49879
cot_sc,4444,0,30764
cot_sc,7304,0,27862
cot_sc,779,0,58617
cot_sc,3324,1,17432
cot_sc,3488,0,32440
cot_sc,6469,0,42725
cot_sc,2732,0,65724
cot_sc,3094,0,32149
cot_sc,6744,0,62274
cot_sc,4475,0,53183
cot_sc,1289,0,35969
cot_sc,549,0,39061
cot_sc,3351,0,39077
cot_sc,628,1,58187
cot_sc,5029,1,18356
cot_sc,3599,0,65592
cot_sc,7184,0,56951
cot_sc,1061,1,24646
cot_sc,5602,0,25237
cot_sc,398,1,27001
cot_sc,4241,1,18424
cot_sc,2859,1,31408
cot_sc,4615,0,25869
cot_sc,4327,0,29451
cot_sc,6863,1,33484
cot_sc,4616,1,35310
cot_sc,6755,1,46176
cot_sc,194,0,26414
cot_sc,4686,0,28252
cot_sc,5492,0,59489
cot_sc,3596,1,25179
cot_sc,6127,1,57187
cot_sc,1019,1,23716
cot_sc,991,0,31069
cot_sc,1399,0,38247
cot_sc,1882,0,59384
cot_sc,4057,1,52816
cot_sc,928,0,46319
cot_sc,1883,1,43576
cot_sc,2389,0,32720
cot_sc,4006,1,49442
cot_sc,1001,0,40205
cot_sc,1013,0,26422
cot_sc,6613,1,28455
cot_sc,163,0,34773
cot_sc,1578,1,24939
cot_sc,6995,0,58996
cot_sc,5883,0,55337
cot_sc,6239,1,29006
cot_sc,3826,0,25308
cot_sc,2274,0,35623
cot_sc,1169,1,27748
cot_sc,6119,1,24777
cot_sc,1268,0,24886
cot_sc,3212,1,24914
cot_sc,615,0,18070
cot_sc,5758,0,37920
cot_sc,4086,1,50936
cot_sc,5561,1,54749
cot_sc,6888,0,28061
cot_sc,3704,0,25844
cot_sc,6659,1,26062
cot_sc,3303,0,60574
cot_sc,1258,0,28511
cot_sc,244,0,28354
cot_sc,1109,0,38270
cot_sc,242,0,61808
cot_sc,7169,0,54160
cot_sc,6575,0,60049
cot_sc,1745,1,24630
cot_sc,4223,1,37377
cot_sc,4197,0,45576
cot_sc,2767,1,22947
cot_sc,3531,0,29262
cot_sc,3486,0,19762
cot_sc,4967,1,26439
cot_sc,5935,0,60749
cot_sc,1462,0,26257
cot_sc,4125,1,28023
cot_sc,2743,0,59278
cot_sc,2196,0,57259
cot_sc,6560,1,20181
cot_sc,344,1,18232
cot_sc,5430,0,42266
cot_sc,5359,0,55590
cot_sc,1818,0,56704
cot_sc,3215,0,56846
cot_sc,7137,1,30485
cot_sc,3977,0,35349
cot_sc,24,0,36622
cot_sc,7285,1,28448
cot_sc,6543,0,58413
cot_sc,6485,1,37243
cot_sc,110,1,31964
cot_sc,3569,1,45521
cot_sc,3916,0,37335
cot_sc,4873,0,49577
cot_sc,3729,1,36542
cot_sc,6325,1,24411
cot_sc,855,1,18369
cot_sc,1244,1,25072
cot_sc,6175,0,40745
cot_sc,5147,0,30658
cot_sc,3817,0,33856
cot_sc,1306,1,30885
cot_sc,6053,0,22220
cot_sc,2680,0,43917
cot_sc,1667,0,36417
cot_sc,1642,1,33066
cot_sc,4741,1,23303
cot_sc,2489,0,56589
cot_sc,935,0,55594
cot_sc,4928,0,36781
cot_sc,6284,1,49868
cot_sc,5391,0,62013
cot_sc,4569,0,18784
cot_sc,772,1,28733
cot_sc,4343,1,26153
cot_sc,3883,0,25007
cot_sc,5001,0,37982
cot_sc,5099,0,21673
cot_sc,6481,0,23932
cot_sc,1378,0,44619
cot_sc,5890,0,51801
cot_sc,6991,1,49010
cot_sc,1027,0,61838
cot_sc,2371,0,19918
cot_sc,869,0,25183
cot_sc,1311,1,25337
cot_sc,3424,1,28239
cot_sc,1940,1,32727
cot_sc,3427,1,24886
cot_sc,423,0,57404
cot_sc,4706,0,32529
cot_sc,2910,1,25510
cot_sc,1364,1,29786
cot_sc,3576,0,44737
cot_sc,1031,0,24682
cot_sc,1049,0,42788
cot_sc,5621,0,24939
cot_sc,174,0,43909
cot_sc,3533,1,47862
cot_sc,5650,1,18005
cot_sc,1962,0,30960
cot_sc,1647,0,27235
cot_sc,1375,1,24219
cot_sc,4544,0,17648
cot_sc,2734,1,19286
cot_sc,2536,0,61859
cot_sc,5270,1,25975
cot_sc,7368,0,38646
cot_sc,7207,0,42091
cot_sc,6219,1,33984
cot_sc,3770,0,55596
cot_sc,6365,0,36174
cot_sc,1479,1,24770
cot_sc,2668,0,39432
cot_sc,3774,0,27230
cot_sc,4852,1,24755
cot_sc,6081,0,70613
cot_sc,7383,1,26402
cot_sc,4466,1,46865
cot_sc,1007,0,67489
cot_sc,2226,1,24937
cot_sc,5293,0,24417
cot_sc,137,1,43909
cot_sc,4715,0,18332
cot_sc,2728,1,25835
cot_sc,6949,1,19863
cot_sc,5000,0,37592
cot_sc,1355,0,32972
cot_sc,6606,0,55730
cot_sc,306,0,24949
cot_sc,2121,1,18676
cot_sc,6773,0,25431
cot_sc,6816,1,42911
cot_sc,5570,0,52394
cot_sc,3156,0,23321
cot_sc,4209,0,32106
cot_sc,7359,0,41901
cot_sc,219,0,40421
cot_sc,2606,0,32316
cot_sc,2807,0,28214
cot_sc,4913,0,60487
cot_sc,6052,0,24944
cot_sc,7008,1,31845
cot_sc,1472,0,26888
cot_sc,6130,0,57367
cot_sc,4756,1,26231
cot_sc,3103,1,26757
cot_sc,3426,1,25249
cot_sc,5882,1,23944
cot_sc,2446,0,57384
cot_sc,450,1,30400
cot_sc,1455,0,60261
cot_sc,5979,0,36023
cot_sc,6713,0,18419
cot_sc,1610,0,55340
cot_sc,1952,0,56194
cot_sc,6115,0,38340
cot_sc,4644,0,26781
cot_sc,5066,0,52403
cot_sc,6622,0,28115
cot_sc,7107,0,30053
cot_sc,5156,0,41766
cot_sc,2810,0,58202
cot_sc,6004,0,41326
cot_sc,6008,0,66889
cot_sc,6685,0,39508
cot_sc,6291,1,35289
cot_sc,1165,1,25182
cot_sc,7261,0,56020
cot_sc,3114,1,38254
cot_sc,2862,0,61097
cot_sc,1266,1,25135
cot_sc,1105,1,24367
cot_sc,7150,0,60237
cot_sc,2075,0,53610
cot_sc,5993,0,45693
cot_sc,4387,1,25442
cot_sc,1875,1,25139
cot_sc,4403,1,26055
cot_sc,1385,0,34765
cot_sc,5342,1,55200
cot_sc,4301,0,24878
cot_sc,778,0,50238
cot_sc,5922,0,29693
cot_sc,7216,0,25062
cot_sc,2869,1,25445
cot_sc,5261,1,30332
cot_sc,927,0,23759
cot_sc,4071,0,59464
cot_sc,516,0,39276
cot_sc,7212,0,18738
cot_sc,3915,1,24876
cot_sc,4248,0,18102
cot_sc,1162,1,24878
cot_sc,1544,0,57629
cot_sc,5113,0,56359
cot_sc,973,1,25692
cot_sc,1991,1,24719
cot_sc,2517,0,52876
cot_sc,15,0,25549
cot_sc,1547,1,32989
cot_sc,3699,0,37581
cot_sc,6421,0,22161
cot_sc,4212,1,54647
cot_sc,1164,0,33439
cot_sc,6836,1,26303
cot_sc,5853,0,46297
cot_sc,1523,1,32326
cot_sc,6665,0,50359
cot_sc,2955,0,25352
cot_sc,1783,0,39367
cot_sc,913,0,34515
cot_sc,1396,1,28519
cot_sc,1283,0,33509
cot_sc,693,0,26998
cot_sc,5696,0,24728
cot_sc,5930,0,42564
cot_sc,2566,0,34207
cot_sc,1998,0,31907
cot_sc,6479,1,32934
cot_sc,189,1,25901
cot_sc,5134,0,56083
cot_sc,2802,0,44841
cot_sc,4040,1,25078
cot_sc,930,1,47847
cot_sc,5225,1,38408
cot_sc,6350,1,44129
cot_sc,5732,0,30770
cot_sc,925,0,53721
cot_sc,1436,0,39641
cot_sc,5889,0,25779
cot_sc,5129,1,55732
cot_sc,1182,1,32716
cot_sc,2704,0,49640
cot_sc,1144,1,49959
cot_sc,2538,0,58399
cot_sc,2905,1,25972
cot_sc,6756,0,24050
cot_sc,1793,1,26137
cot_sc,545,0,55866
cot_sc,743,1,51682
action_prune,1888,0,18563
action_prune,3545,0,3917
action_prune,2587,0,16104
action_prune,3726,0,5716
action_prune,3469,0,6088
action_prune,7385,0,10549
action_prune,1873,1,6108
action_prune,672,0,16694
action_prune,6679,0,6540
action_prune,3619,0,13361
action_prune,449,0,16585
action_prune,5874,0,5935
action_prune,5858,0,3925
action_prune,5159,1,11093
action_prune,1079,0,15523
action_prune,5999,0,13104
action_prune,4055,1,6210
action_prune,4806,0,3816
action_prune,4188,1,6445
action_prune,6895,0,12404
action_prune,6611,1,6416
action_prune,404,1,6149
action_prune,251,1,3811
action_prune,2709,0,16026
action_prune,4136,0,1926
action_prune,6282,0,6194
action_prune,6253,0,11525
action_prune,2053,1,13359
action_prune,1891,0,3929
action_prune,702,0,16908
action_prune,6220,0,8235
action_prune,6060,1,6009
action_prune,5157,0,3896
action_prune,6633,0,8472
action_prune,7272,0,16467
action_prune,3969,1,6283
action_prune,2187,0,6399
action_prune,2191,0,6256
action_prune,3625,0,16853
action_prune,647,1,4113
action_prune,454,1,11051
action_prune,3600,1,16012
action_prune,4896,1,5751
action_prune,6729,0,8374
action_prune,5718,0,8276
action_prune,2397,1,6084
action_prune,2557,0,10188
action_prune,885,0,15713
action_prune,2046,1,6009
action_prune,4651,0,8590
action_prune,2661,0,12446
action_prune,4028,1,6010
action_prune,2580,1,5974
action_prune,3888,1,5875
action_prune,4153,1,8268
action_prune,6718,0,8903
action_prune,7397,1,3835
action_prune,6700,1,5969
action_prune,3736,1,5935
action_prune,5988,0,16288
action_prune,4449,0,16925
action_prune,6997,0,15440
action_prune,2481,1,5809
action_prune,5884,0,15055
action_prune,3864,0,11536
action_prune,5965,0,6229
action_prune,5043,0,16180
action_prune,4255,0,16846
action_prune,5155,1,6140
action_prune,6649,0,5866
action_prune,4214,0,6175
action_prune,6807,1,10826
action_prune,6357,0,3837
action_prune,901,0,11590
action_prune,167,1,5862
action_prune,3124,0,10774
action_prune,6526,1,3877
action_prune,3880,1,3875
action_prune,451,0,16621
action_prune,7244,0,16746
action_prune,5365,1,6340
action_prune,6569,0,20074
action_prune,1059,0,13272
action_prune,3685,1,7722
action_prune,325,0,6122
action_prune,6460,0,19674
action_prune,7352,1,6018
action_prune,5404,0,4134
action_prune,4247,0,16065
action_prune,4381,0,7961
action_prune,5235,1,8328
action_prune,5542,1,5680
action_prune,3355,1,5910
action_prune,5608,0,5783
action_prune,6074,0,6051
action_prune,2690,0,15699
action_prune,1297,0,3849
action_prune,1180,0,6003
action_prune,4933,0,8456
action_prune,1419,0,12676
action_prune,3006,0,5968
action_prune,3807,0,5975
action_prune,3613,0,3871
action_prune,3542,0,10771
action_prune,4799,0,6415
action_prune,4733,1,6100
action_prune,6905,0,12815
action_prune,3788,0,3930
action_prune,2513,1,10790
action_prune,5337,0,11146
action_prune,1417,0,8202
action_prune,7333,1,6086
action_prune,6796,0,5755
action_prune,7280,0,17631
action_prune,6416,0,15325
action_prune,3164,0,6780
action_prune,2299,0,5860
action_prune,580,0,6162
action_prune,5498,1,6114
action_prune,1422,0,5949
action_prune,5313,1,6235
action_prune,5532,0,16459
action_prune,32,0,3955
action_prune,273,0,15060
action_prune,1094,1,6094
action_prune,2277,0,6208
action_prune,2521,1,6270
action_prune,6883,0,8058
action_prune,2884,0,17008
action_prune,975,0,10506
action_prune,2951,0,3855
action_prune,4037,0,6100
action_prune,7270,1,5982
action_prune,5285,0,17080
action_prune,1910,0,8128
action_prune,2594,0,6204
action_prune,1815,0,6278
action_prune,5341,0,6157
action_prune,218,1,15147
action_prune,87,1,6129
action_prune,5187,0,16579
action_prune,1418,0,10536
action_prune,2658,0,5729
action_prune,2852,1,6466
action_prune,6477,1,16871
action_prune,2708,1,8177
action_prune,571,0,8197
action_prune,1011,0,13531
action_prune,4604,1,3846
action_prune,3377,0,6107
action_prune,879,0,3830
action_prune,7116,0,8255
action_prune,3340,1,11618
action_prune,3494,1,4006
action_prune,4693,0,6520
action_prune,1039,0,4015
action_prune,3897,1,5818
action_prune,5389,1,8246
action_prune,2853,0,8691
action_prune,6149,1,5957
action_prune,321,0,4029
action_prune,5356,1,6080
action_prune,5228,1,6102
action_prune,12,0,16172
action_prune,6989,0,15677
action_prune,1927,0,11376
action_prune,3476,0,6023
action_prune,1678,1,5815
action_prune,5998,0,16462
action_prune,2192,0,16732
action_prune,1175,0,6250
action_prune,4545,1,3998
action_prune,1674,0,6042
action_prune,279,0,6109
action_prune,5674,0,6064
action_prune,5036,0,15692
action_prune,4180,0,3940
action_prune,4597,0,13886
action_prune,5459,1,10768
action_prune,3153,0,19216
action_prune,7245,1,10642
action_prune,3055,0,3761
action_prune,5800,0,6453
action_prune,4738,0,10461
action_prune,645,1,10697
action_prune,2361,0,8362
action_prune,6080,0,5775
action_prune,2642,0,6578
action_prune,7153,0,16575
action_prune,5490,0,6192
action_prune,691,0,6140
action_prune,3794,1,6024
action_prune,4912,0,13718
action_prune,1102,1,5983
action_prune,2123,0,12991
action_prune,3007,0,4011
action_prune,2738,0,5913
action_prune,5975,1,6126
action_prune,3171,0,3871
action_prune,4911,1,8046
action_prune,6849,0,16217
action_prune,6370,1,6398
action_prune,3043,1,6170
action_prune,603,1,10575
action_prune,2894,0,18301
action_prune,7387,0,14602
action_prune,3693,0,13368
action_prune,6135,0,15459
action_prune,5441,1,8450
action_prune,3669,1,5765
action_prune,2379,1,6192
action_prune,1527,0,13493
action_prune,359,0,10631
action_prune,3792,0,6027
action_prune,6797,0,11544
action_prune,4444,0,10945
action_prune,7304,0,6631
action_prune,779,0,17115
action_prune,3324,1,5861
action_prune,3488,0,8265
action_prune,6469,0,8091
action_prune,2732,0,18626
action_prune,3094,0,8303
action_prune,6744,0,16819
action_prune,4475,0,13828
action_prune,1289,0,16282
action_prune,549,0,6295
action_prune,3351,0,11029
action_prune,628,0,16077
action_prune,5029,1,3940
action_prune,3599,0,16393
action_prune,7184,0,16160
action_prune,1061,1,5994
action_prune,5602,0,6089
action_prune,398,0,8996
action_prune,4241,1,3983
action_prune,2859,1,8121
action_prune,4615,0,6199
action_prune,4327,0,3985
action_prune,6863,1,8457
action_prune,4616,1,13478
action_prune,6755,1,11226
action_prune,194,1,6281
action_prune,4686,0,6120
action_prune,5492,0,16136
action_prune,3596,1,6079
action_prune,6127,0,15430
action_prune,1019,1,5774
action_prune,991,0,8004
action_prune,1399,1,10779
action_prune,1882,0,19268
action_prune,4057,0,15943
action_prune,928,0,8083
action_prune,1883,1,8181
action_prune,2389,0,6382
action_prune,4006,0,16686
action_prune,1001,0,16030
action_prune,1013,0,6338
action_prune,6613,1,8501
action_prune,163,0,8280
action_prune,1578,1,6077
action_prune,6995,0,10792
action_prune,5883,0,16320
action_prune,6239,1,6249
action_prune,3826,0,5958
action_prune,2274,0,5966
action_prune,1169,1,6126
action_prune,6119,1,6051
action_prune,2895,1,8367
action_prune,1268,1,3796
action_prune,3212,1,5946
action_prune,615,0,3909
action_prune,5758,0,6139
action_prune,4086,0,16306
action_prune,5561,0,15524
action_prune,6888,1,10634
action_prune,3704,0,6187
action_prune,6659,1,6201
action_prune,3303,0,17611
action_prune,1258,1,8191
action_prune,244,0,7950
action_prune,1109,1,10235
action_prune,242,0,10752
action_prune,7169,1,13070
action_prune,6575,0,17061
action_prune,1745,1,5914
action_prune,4223,0,8359
action_prune,4197,0,5832
action_prune,2767,1,3927
action_prune,3531,0,16665
action_prune,3486,0,5864
action_prune,4967,1,6359
action_prune,5935,0,16197
action_prune,1462,0,6076
action_prune,4125,1,6603
action_prune,2743,0,15613
action_prune,2196,0,15361
action_prune,6560,1,3851
action_prune,344,0,3940
action_prune,5430,0,13291
action_prune,5359,0,15651
action_prune,1818,0,17715
action_prune,3215,0,16056
action_prune,7137,1,7863
action_prune,3977,0,8406
action_prune,24,0,8817
action_prune,7285,1,6329
action_prune,6543,0,16180
action_prune,6485,0,11179
action_prune,110,1,5920
action_prune,3569,1,8650
action_prune,3916,0,14942
action_prune,4873,0,13836
action_prune,3729,1,6052
action_prune,6325,1,5889
action_prune,855,1,3918
action_prune,1244,1,6008
action_prune,6175,0,15445
action_prune,5147,0,6231
action_prune,3817,0,8635
action_prune,1306,1,7955
action_prune,6053,0,5903
action_prune,2680,0,16445
action_prune,1667,0,10287
action_prune,1642,1,8520
action_prune,4741,1,5645
action_prune,2489,0,16339
action_prune,935,0,15282
action_prune,4928,0,10362
action_prune,6284,0,17270
action_prune,5391,0,17235
action_prune,4569,0,4032
action_prune,772,1,5902
action_prune,4343,1,6259
action_prune,3883,0,6023
action_prune,5001,0,11040
action_prune,5099,0,6216
action_prune,6481,1,4086
action_prune,1378,1,10469
action_prune,5890,0,8637
action_prune,6991,0,16465
action_prune,1027,0,16393
action_prune,2371,1,3809
action_prune,869,0,6068
action_prune,1311,1,6075
action_prune,3424,1,5799
action_prune,1940,1,5829
action_prune,3427,1,5996
action_prune,423,0,17348
action_prune,4706,0,8242
action_prune,2910,1,6156
action_prune,1364,1,8193
action_prune,3576,0,10689
action_prune,1031,0,5940
action_prune,1049,0,8453
action_prune,5621,0,5995
action_prune,174,0,6219
action_prune,3533,1,13437
action_prune,5650,1,3898
action_prune,1962,0,10246
action_prune,1647,0,6009
action_prune,1375,1,5906
action_prune,4544,0,3835
action_prune,2734,0,4122
action_prune,2536,0,14014
action_prune,5270,1,6091
action_prune,7368,0,1972
action_prune,7207,0,11463
action_prune,6219,1,10820
action_prune,3770,0,15892
action_prune,6365,0,8245
action_prune,1479,1,5989
action_prune,2668,0,10329
action_prune,3774,0,6454
action_prune,4852,1,5950
action_prune,6081,0,18951
action_prune,7383,1,6347
action_prune,4466,0,15506
action_prune,1007,0,18348
action_prune,2226,1,6039
action_prune,5293,0,5934
action_prune,137,0,13624
action_prune,4715,0,3983
action_prune,2728,1,6166
action_prune,6949,1,3794
action_prune,5000,0,12446
action_prune,1355,0,8396
action_prune,6606,0,15247
action_prune,306,0,8471
action_prune,2121,1,3990
action_prune,6773,1,6136
action_prune,6816,1,8870
action_prune,5570,0,17117
action_prune,3156,1,4015
action_prune,4209,0,5983
action_prune,7359,0,10643
action_prune,219,0,10263
action_prune,2606,0,8175
action_prune,2807,1,8461
action_prune,4913,0,17289
action_prune,6052,0,6032
action_prune,7008,1,8247
action_prune,1472,0,6414
action_prune,6130,0,15907
action_prune,4756,1,6255
action_prune,3103,1,6380
action_prune,3426,1,6095
action_prune,5882,1,5800
action_prune,2446,0,15894
action_prune,450,1,6240
action_prune,1455,0,17165
action_prune,5979,0,8010
action_prune,6713,0,3973
action_prune,1610,0,15787
action_prune,1952,0,14674
action_prune,6115,0,13147
action_prune,4644,0,5944
action_prune,5066,1,13340
action_prune,6622,0,8401
action_prune,7107,0,8368
action_prune,5156,0,8037
action_prune,2810,1,8436
action_prune,6004,0,11176
action_prune,6008,0,17824
action_prune,6685,0,6397
action_prune,6291,1,7975
action_prune,1165,1,6035
action_prune,7261,0,13199
action_prune,3114,0,12037
action_prune,2862,0,17190
action_prune,1266,1,5996
action_prune,1105,1,5893
action_prune,7150,0,10623
action_prune,2075,0,10921
action_prune,5993,0,10720
action_prune,4387,1,8256
action_prune,1875,1,6152
action_prune,4403,1,6201
action_prune,1385,0,8914
action_prune,5342,0,15618
action_prune,4301,0,6033
action_prune,778,0,16805
action_prune,5922,0,6496
action_prune,7216,0,5970
action_prune,2869,1,6119
action_prune,5261,1,8347
action_prune,927,0,6273
action_prune,4071,0,16170
action_prune,516,0,11805
action_prune,7212,0,3947
action_prune,3915,0,5998
action_prune,4248,0,3973
action_prune,1162,1,6016
action_prune,1544,0,15749
action_prune,5113,0,15632
action_prune,973,1,6222
action_prune,1991,1,5934
action_prune,2517,0,15958
action_prune,15,0,6124
action_prune,1547,1,6462
action_prune,3699,0,8297
action_prune,6421,1,5800
action_prune,4212,0,15270
action_prune,1164,0,8780
action_prune,6836,1,6232
action_prune,5853,0,8432
action_prune,1523,1,8216
action_prune,6665,0,18070
action_prune,2955,0,6133
action_prune,1783,0,10370
action_prune,913,0,8212
action_prune,1396,1,6296
action_prune,1283,0,7925
action_prune,693,1,5973
action_prune,5696,0,5973
action_prune,5930,0,6125
action_prune,2566,0,4039
action_prune,1998,1,8079
action_prune,6479,1,8390
action_prune,189,1,6187
action_prune,5134,0,15988
action_prune,2802,0,15337
action_prune,4040,1,6041
action_prune,930,0,16579
action_prune,5225,0,5904
action_prune,6350,1,5947
action_prune,5732,1,7816
action_prune,925,0,15093
action_prune,1436,0,8129
action_prune,5889,0,6143
action_prune,5129,1,15832
action_prune,1182,1,8337
action_prune,2704,0,16505
action_prune,1144,1,12934
action_prune,2538,0,17336
action_prune,2905,1,6196
action_prune,6756,0,5837
action_prune,1793,1,6320
action_prune,545,0,15459
action_prune,743,1,10377
majority_voting,1888,0,56979
majority_voting,3545,0,14914
majority_voting,2587,0,29772
majority_voting,3726,1,27012
majority_voting,3469,0,21277
majority_voting,7385,0,24143
majority_voting,1873,1,18666
majority_voting,672,1,50826
majority_voting,6679,0,28347
majority_voting,3619,0,44850
majority_voting,449,0,42905
majority_voting,5874,0,18212
majority_voting,5858,0,19024
majority_voting,5159,1,14504
majority_voting,1079,0,39409
majority_voting,5999,0,39249
majority_voting,4055,1,19021
majority_voting,4806,0,11737
majority_voting,4188,0,19634
majority_voting,6895,0,42696
majority_voting,6611,1,23711
majority_voting,404,1,18819
majority_voting,251,0,11801
majority_voting,2709,0,42063
majority_voting,4136,0,6135
majority_voting,6282,0,19114
majority_voting,6253,0,36896
majority_voting,2053,1,39980
majority_voting,1891,0,12257
majority_voting,702,0,50534
majority_voting,6220,1,30789
majority_voting,6060,1,13933
majority_voting,5157,0,12084
majority_voting,6633,1,33803
majority_voting,7272,0,48421
majority_voting,3969,1,19087
majority_voting,2187,0,19662
majority_voting,2191,0,19075
majority_voting,3625,0,50390
majority_voting,647,0,12771
majority_voting,454,1,24083
majority_voting,3600,1,40950
majority_voting,4896,1,18569
majority_voting,6729,0,24287
majority_voting,5718,1,33108
majority_voting,2397,1,18578
majority_voting,2557,0,33343
majority_voting,885,0,46750
majority_voting,2046,1,18367
majority_voting,4651,0,26090
majority_voting,2661,0,31128
majority_voting,4028,1,18395
majority_voting,2580,1,18228
majority_voting,3888,1,17914
majority_voting,4153,1,27585
majority_voting,6718,1,18818
majority_voting,7397,1,11824
majority_voting,6700,1,14021
majority_voting,3736,1,32090
majority_voting,5988,0,49569
majority_voting,4449,0,40242
majority_voting,6997,1,48059
majority_voting,2481,1,17794
majority_voting,5884,0,44016
majority_voting,3864,0,42074
majority_voting,5965,0,21254
majority_voting,5043,1,29791
majority_voting,4255,0,46635
majority_voting,5155,1,18415
majority_voting,6649,0,17973
majority_voting,4214,0,18852
majority_voting,6807,1,40946
majority_voting,6357,0,11887
majority_voting,901,0,31922
majority_voting,167,1,17945
majority_voting,3124,0,46194
majority_voting,6526,1,14368
majority_voting,3880,1,11940
majority_voting,451,0,44724
majority_voting,7244,1,52020
majority_voting,5365,1,19356
majority_voting,6569,1,55145
majority_voting,1059,0,47905
majority_voting,3685,1,30429
majority_voting,325,0,18789
majority_voting,6460,0,50127
majority_voting,7352,1,18271
majority_voting,5404,1,12795
majority_voting,4247,1,44390
majority_voting,4381,0,30989
majority_voting,5235,1,28086
majority_voting,5542,1,19763
majority_voting,3355,1,18016
majority_voting,5608,0,19831
majority_voting,6074,0,18536
majority_voting,2690,0,40851
majority_voting,1297,1,11800
majority_voting,1180,0,18473
majority_voting,4933,0,25728
majority_voting,1419,0,30845
majority_voting,3006,0,18300
majority_voting,3807,0,18288
majority_voting,3613,0,14097
majority_voting,3542,0,30389
majority_voting,4799,0,27111
majority_voting,4733,1,38794
majority_voting,6905,0,15867
majority_voting,3788,0,12261
majority_voting,2513,1,23517
majority_voting,5337,0,28526
majority_voting,1417,0,24918
majority_voting,7333,1,18697
majority_voting,6796,1,34425
majority_voting,7280,0,39488
majority_voting,6416,0,46573
majority_voting,3164,0,20024
majority_voting,2299,0,18094
majority_voting,580,0,18839
majority_voting,5498,0,27199
majority_voting,1422,0,18273
majority_voting,5313,1,19120
majority_voting,5532,0,44939
majority_voting,32,0,12155
majority_voting,273,0,41650
majority_voting,1094,1,18628
majority_voting,2277,0,19003
majority_voting,2521,1,19025
majority_voting,6883,0,16001
majority_voting,2884,0,34721
majority_voting,975,0,19155
majority_voting,2951,0,11923
majority_voting,4037,0,18754
majority_voting,7270,0,18291
majority_voting,5285,0,46094
majority_voting,1910,0,24850
majority_voting,2594,0,20970
majority_voting,1815,0,19172
majority_voting,5341,0,23407
majority_voting,218,1,46837
majority_voting,87,1,18690
majority_voting,5187,1,49453
majority_voting,1418,0,39390
majority_voting,2658,1,21995
majority_voting,2852,1,30670
majority_voting,6477,1,37730
majority_voting,2708,1,24921
majority_voting,571,0,25776
majority_voting,1011,0,35595
majority_voting,4604,0,11928
majority_voting,3377,0,18674
majority_voting,879,0,15631
majority_voting,7116,0,22948
majority_voting,3340,1,30924
majority_voting,3494,1,12237
majority_voting,4693,0,19933
majority_voting,1039,0,12308
majority_voting,3897,0,29490
majority_voting,5389,1,25149
majority_voting,2853,0,24015
majority_voting,6149,1,20355
majority_voting,321,0,12504
majority_voting,5356,1,18512
majority_voting,5228,1,18523
majority_voting,12,1,48261
majority_voting,6989,0,47696
majority_voting,1927,1,19493
majority_voting,3476,0,18825
majority_voting,1678,1,17903
majority_voting,5998,0,50272
majority_voting,2192,0,50376
majority_voting,1175,0,21737
majority_voting,4545,1,23104
majority_voting,1674,0,18572
majority_voting,279,0,18668
majority_voting,5674,0,20647
majority_voting,5036,0,44604
majority_voting,4180,0,12063
majority_voting,4597,0,28952
majority_voting,5459,1,30037
majority_voting,3153,0,53549
majority_voting,7245,1,29906
majority_voting,3055,1,11618
majority_voting,5800,0,15111
majority_voting,4738,0,41773
majority_voting,645,1,35531
majority_voting,2361,0,33516
majority_voting,6080,0,26317
majority_voting,2642,0,19554
majority_voting,7153,0,48514
majority_voting,5490,0,18972
majority_voting,691,0,18764
majority_voting,3794,1,12053
majority_voting,4912,0,31325
majority_voting,1102,1,18483
majority_voting,2123,1,42765
majority_voting,3007,0,12419
majority_voting,2738,0,18091
majority_voting,5975,1,27958
majority_voting,3171,0,12020
majority_voting,4911,1,24452
majority_voting,6849,0,40726
majority_voting,6370,1,26430
majority_voting,3043,1,18806
majority_voting,603,1,31289
majority_voting,2894,0,54657
majority_voting,7387,0,47109
majority_voting,3693,1,43526
majority_voting,6135,0,41617
majority_voting,5441,1,33397
majority_voting,3669,1,18111
majority_voting,2379,0,18834
majority_voting,1527,0,34370
majority_voting,359,0,32596
majority_voting,3792,0,18512
majority_voting,6797,1,40930
majority_voting,4444,0,23647
majority_voting,7304,0,20950
majority_voting,779,0,49582
majority_voting,3324,1,11669
majority_voting,3488,0,25235
majority_voting,6469,0,34990
majority_voting,2732,0,55311
majority_voting,3094,0,25368
majority_voting,6744,0,51841
majority_voting,4475,0,44620
majority_voting,1289,0,28546
majority_voting,549,0,31333
majority_voting,3351,0,31264
majority_voting,628,0,49528
majority_voting,5029,1,12167
majority_voting,3599,0,54936
majority_voting,7184,0,48465
